,Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
642,sdg,Central and Southern Asia,total,Hygiene,2012,57.843340000000005,1051816161.2258,Basic service
645,sdg,Central and Southern Asia,total,Hygiene,2012,37.6123,683937471.55873,Limited service
648,sdg,Central and Southern Asia,total,Hygiene,2012,4.54436,82634013.9536,No handwashing facility
679,sdg,Central and Southern Asia,total,Hygiene,2013,57.95544,1068201642.72626,Basic service
682,sdg,Central and Southern Asia,total,Hygiene,2013,37.51056,691373251.45783,Limited service
685,sdg,Central and Southern Asia,total,Hygiene,2013,4.534,83568160.20996,No handwashing facility
716,sdg,Central and Southern Asia,total,Hygiene,2014,58.061690000000006,1084419439.38125,Basic service
719,sdg,Central and Southern Asia,total,Hygiene,2014,37.41489,698798781.65703,Limited service
722,sdg,Central and Southern Asia,total,Hygiene,2014,4.52342,84484080.45107,No handwashing facility
753,sdg,Central and Southern Asia,total,Hygiene,2015,58.16124,1100418493.91712,Basic service
756,sdg,Central and Southern Asia,total,Hygiene,2015,37.325959999999995,706212280.74943,Limited service
759,sdg,Central and Southern Asia,total,Hygiene,2015,4.51279,85382686.9859,No handwashing facility
790,sdg,Central and Southern Asia,total,Hygiene,2017,58.38168,1132502056.27472,Basic service
793,sdg,Central and Southern Asia,total,Hygiene,2017,37.12723,720202979.39895,Limited service
796,sdg,Central and Southern Asia,total,Hygiene,2017,4.49109,87119224.3506,No handwashing facility
2559,sdg,Northern Africa and Western Asia,total,Hygiene,2010,74.57568,325931690.84534,Basic service
2561,sdg,Northern Africa and Western Asia,total,Hygiene,2010,11.6348,50849688.9136,Limited service
2563,sdg,Northern Africa and Western Asia,total,Hygiene,2010,13.789520000000001,60266834.7415,No handwashing facility
2591,sdg,Northern Africa and Western Asia,total,Hygiene,2011,75.08299,335047861.20741004,Basic service
2593,sdg,Northern Africa and Western Asia,total,Hygiene,2011,11.536489999999999,51480070.36743,Limited service
2595,sdg,Northern Africa and Western Asia,total,Hygiene,2011,13.38052,59708795.225159995,No handwashing facility
2623,sdg,Northern Africa and Western Asia,total,Hygiene,2012,75.59597,344347453.85051,Basic service
2625,sdg,Northern Africa and Western Asia,total,Hygiene,2012,11.420919999999999,52023461.15552,Limited service
2627,sdg,Northern Africa and Western Asia,total,Hygiene,2012,12.98311,59139431.29396,No handwashing facility
2655,sdg,Northern Africa and Western Asia,total,Hygiene,2013,76.10989000000001,353768235.32665,Basic service
2657,sdg,Northern Africa and Western Asia,total,Hygiene,2013,11.30516,52547808.694340006,Limited service
2659,sdg,Northern Africa and Western Asia,total,Hygiene,2013,12.58494,58496372.97901999,No handwashing facility
2687,sdg,Northern Africa and Western Asia,total,Hygiene,2014,75.65598,358668913.10064,Basic service
2689,sdg,Northern Africa and Western Asia,total,Hygiene,2014,12.37993,58690622.41571999,Limited service
2691,sdg,Northern Africa and Western Asia,total,Hygiene,2014,11.964089999999999,56719228.51411,No handwashing facility
2719,sdg,Northern Africa and Western Asia,total,Hygiene,2015,76.15285,368015914.39612,Basic service
2721,sdg,Northern Africa and Western Asia,total,Hygiene,2015,12.22788,59092405.82445,Limited service
2723,sdg,Northern Africa and Western Asia,total,Hygiene,2015,11.61927,56151244.77943,No handwashing facility
2751,sdg,Northern Africa and Western Asia,total,Hygiene,2017,76.75928,384765946.20791,Basic service
2753,sdg,Northern Africa and Western Asia,total,Hygiene,2017,11.829460000000001,59296709.0318,Limited service
2755,sdg,Northern Africa and Western Asia,total,Hygiene,2017,11.41126,57200443.06029,No handwashing facility
3521,sdg,Sub-Saharan Africa,total,Hygiene,2011,22.71525,197338258.46199,Basic service
3524,sdg,Sub-Saharan Africa,total,Hygiene,2011,31.47382,273428164.23755,Limited service
3527,sdg,Sub-Saharan Africa,total,Hygiene,2011,45.81093,397981515.27804,No handwashing facility
3560,sdg,Sub-Saharan Africa,total,Hygiene,2012,24.64944,220119854.85108998,Basic service
3563,sdg,Sub-Saharan Africa,total,Hygiene,2012,34.03334,303918253.12852997,Limited service
3566,sdg,Sub-Saharan Africa,total,Hygiene,2012,41.31722,368963374.47742003,No handwashing facility
3599,sdg,Sub-Saharan Africa,total,Hygiene,2013,24.99686,229436746.37699,Basic service
3602,sdg,Sub-Saharan Africa,total,Hygiene,2013,33.778240000000004,310037698.92129,Limited service
3605,sdg,Sub-Saharan Africa,total,Hygiene,2013,41.22489,378387673.33775,No handwashing facility
3638,sdg,Sub-Saharan Africa,total,Hygiene,2014,25.1271,237020175.8664,Basic service
3641,sdg,Sub-Saharan Africa,total,Hygiene,2014,33.66961,317600322.07677996,Limited service
3644,sdg,Sub-Saharan Africa,total,Hygiene,2014,41.20329,388664399.14349,No handwashing facility
3677,sdg,Sub-Saharan Africa,total,Hygiene,2015,25.22335,244473375.00664,Basic service
3680,sdg,Sub-Saharan Africa,total,Hygiene,2015,33.59998,325662529.84215,Limited service
3683,sdg,Sub-Saharan Africa,total,Hygiene,2015,41.17667,399098347.81824,No handwashing facility
3716,sdg,Sub-Saharan Africa,total,Hygiene,2017,25.01644,255834258.49727002,Basic service
3719,sdg,Sub-Saharan Africa,total,Hygiene,2017,34.24,350160277.95177,Limited service
3722,sdg,Sub-Saharan Africa,total,Hygiene,2017,40.743559999999995,416669924.86027,No handwashing facility
