,Region,Year,Basic service,Limited service,Open defecation,Safely managed service,Unimproved
0,Australia and New Zealand,2000,39.38183,0.0,0.0,60.61081,0.007359999999999999
1,Australia and New Zealand,2001,39.25925,0.0,0.0,60.73339,0.007359999999999999
2,Australia and New Zealand,2002,39.13418,0.0,0.0,60.85847,0.00735
3,Australia and New Zealand,2003,39.007909999999995,0.0,0.0,60.98474,0.00735
4,Australia and New Zealand,2004,38.882870000000004,0.0,0.0,61.10978000000001,0.00735
5,Australia and New Zealand,2005,38.054359999999996,0.0,0.0,61.93829,0.00735
6,Australia and New Zealand,2006,37.229690000000005,0.0,0.0,62.76296,0.00735
7,Australia and New Zealand,2007,36.407759999999996,0.0,0.0,63.584880000000005,0.007359999999999999
8,Australia and New Zealand,2008,35.58692,0.0,0.0,64.40571,0.007370000000000001
9,Australia and New Zealand,2009,34.76505,0.0,0.0,65.22757,0.007379999999999999
10,Australia and New Zealand,2010,33.94084,0.0,0.0,66.05176999999999,0.007390000000000001
11,Australia and New Zealand,2011,33.11403,0.0,0.0,66.87858,0.007390000000000001
12,Australia and New Zealand,2012,32.28518,0.0,0.0,67.70742,0.0074
13,Australia and New Zealand,2013,31.454829999999998,0.0,0.0,68.53777,0.0074
14,Australia and New Zealand,2014,30.62375,0.0,0.0,69.36884,0.0074
15,Australia and New Zealand,2015,29.79245,0.0,0.0,70.20013,0.007409999999999999
16,Australia and New Zealand,2017,28.12913,0.0,0.0,71.86345,0.00742
17,Central and Southern Asia,2000,25.451829999999998,5.86227,58.21325,,10.47265
18,Central and Southern Asia,2001,27.4513,6.36669,55.15849,,11.02352
19,Central and Southern Asia,2002,29.524490000000004,6.845039999999999,52.85544,,10.775030000000001
20,Central and Southern Asia,2003,31.606540000000003,7.308339999999999,50.56037,,10.52475
21,Central and Southern Asia,2004,33.69872,7.756410000000001,48.2756,,10.26928
22,Central and Southern Asia,2005,35.80346,8.18561,46.00268,,10.00825
23,Central and Southern Asia,2006,37.911359999999995,8.60635,43.73935,,9.74293
24,Central and Southern Asia,2007,40.027390000000004,9.0138,41.48664,,9.47217
