,Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
0,sdg,Australia and New Zealand,total,Sanitation,2000,39.38183,9028221.19053,Basic service
1,sdg,Australia and New Zealand,total,Sanitation,2000,0.0,0.0,Limited service
2,sdg,Australia and New Zealand,total,Sanitation,2000,0.0,0.0,Open defecation
3,sdg,Australia and New Zealand,total,Sanitation,2000,60.61081,13894928.814960001,Safely managed service
4,sdg,Australia and New Zealand,total,Sanitation,2000,0.007359999999999999,1686.9945100000002,Unimproved
18,sdg,Australia and New Zealand,total,Sanitation,2001,39.25925,9098906.70218,Basic service
19,sdg,Australia and New Zealand,total,Sanitation,2001,0.0,0.0,Limited service
20,sdg,Australia and New Zealand,total,Sanitation,2001,0.0,0.0,Open defecation
21,sdg,Australia and New Zealand,total,Sanitation,2001,60.73339,14075855.12542,Safely managed service
22,sdg,Australia and New Zealand,total,Sanitation,2001,0.007359999999999999,1705.1724,Unimproved
36,sdg,Australia and New Zealand,total,Sanitation,2002,39.13418,9172425.34939,Basic service
37,sdg,Australia and New Zealand,total,Sanitation,2002,0.0,0.0,Limited service
38,sdg,Australia and New Zealand,total,Sanitation,2002,0.0,0.0,Open defecation
39,sdg,Australia and New Zealand,total,Sanitation,2002,60.85847,14264250.23139,Safely managed service
40,sdg,Australia and New Zealand,total,Sanitation,2002,0.00735,1722.41922,Unimproved
54,sdg,Australia and New Zealand,total,Sanitation,2003,39.007909999999995,9252302.45919,Basic service
55,sdg,Australia and New Zealand,total,Sanitation,2003,0.0,0.0,Limited service
56,sdg,Australia and New Zealand,total,Sanitation,2003,0.0,0.0,Open defecation
57,sdg,Australia and New Zealand,total,Sanitation,2003,60.98474,14464995.27872,Safely managed service
58,sdg,Australia and New Zealand,total,Sanitation,2003,0.00735,1743.2620600000002,Unimproved
72,sdg,Australia and New Zealand,total,Sanitation,2004,38.882870000000004,9343114.55082,Basic service
73,sdg,Australia and New Zealand,total,Sanitation,2004,0.0,0.0,Limited service
74,sdg,Australia and New Zealand,total,Sanitation,2004,0.0,0.0,Open defecation
75,sdg,Australia and New Zealand,total,Sanitation,2004,61.10978000000001,14683987.69497,Safely managed service
76,sdg,Australia and New Zealand,total,Sanitation,2004,0.00735,1765.75423,Unimproved
90,sdg,Australia and New Zealand,total,Sanitation,2005,38.054359999999996,9275468.14854,Basic service
91,sdg,Australia and New Zealand,total,Sanitation,2005,0.0,0.0,Limited service
92,sdg,Australia and New Zealand,total,Sanitation,2005,0.0,0.0,Open defecation
93,sdg,Australia and New Zealand,total,Sanitation,2005,61.93829,15096998.55695,Safely managed service
94,sdg,Australia and New Zealand,total,Sanitation,2005,0.00735,1790.2945100000002,Unimproved
108,sdg,Australia and New Zealand,total,Sanitation,2006,37.229690000000005,9217892.96818,Basic service
109,sdg,Australia and New Zealand,total,Sanitation,2006,0.0,0.0,Limited service
110,sdg,Australia and New Zealand,total,Sanitation,2006,0.0,0.0,Open defecation
111,sdg,Australia and New Zealand,total,Sanitation,2006,62.76296,15539810.246070001,Safely managed service
112,sdg,Australia and New Zealand,total,Sanitation,2006,0.00735,1819.78577,Unimproved
126,sdg,Australia and New Zealand,total,Sanitation,2007,36.407759999999996,9167407.37757,Basic service
127,sdg,Australia and New Zealand,total,Sanitation,2007,0.0,0.0,Limited service
128,sdg,Australia and New Zealand,total,Sanitation,2007,0.0,0.0,Open defecation
129,sdg,Australia and New Zealand,total,Sanitation,2007,63.584880000000005,16010554.097520001,Safely managed service
130,sdg,Australia and New Zealand,total,Sanitation,2007,0.007359999999999999,1853.5248800000002,Unimproved
144,sdg,Australia and New Zealand,total,Sanitation,2008,35.58692,9117659.024039999,Basic service
145,sdg,Australia and New Zealand,total,Sanitation,2008,0.0,0.0,Limited service
146,sdg,Australia and New Zealand,total,Sanitation,2008,0.0,0.0,Open defecation
147,sdg,Australia and New Zealand,total,Sanitation,2008,64.40571,16501269.368689999,Safely managed service
148,sdg,Australia and New Zealand,total,Sanitation,2008,0.007370000000000001,1888.6072399999998,Unimproved
162,sdg,Australia and New Zealand,total,Sanitation,2009,34.76505,9060648.805189999,Basic service
163,sdg,Australia and New Zealand,total,Sanitation,2009,0.0,0.0,Limited service
164,sdg,Australia and New Zealand,total,Sanitation,2009,0.0,0.0,Open defecation
165,sdg,Australia and New Zealand,total,Sanitation,2009,65.22757,16999948.95326,Safely managed service
166,sdg,Australia and New Zealand,total,Sanitation,2009,0.007379999999999999,1924.24158,Unimproved
180,sdg,Australia and New Zealand,total,Sanitation,2010,33.94084,8990970.82283,Basic service
181,sdg,Australia and New Zealand,total,Sanitation,2010,0.0,0.0,Limited service
182,sdg,Australia and New Zealand,total,Sanitation,2010,0.0,0.0,Open defecation
183,sdg,Australia and New Zealand,total,Sanitation,2010,66.05176999999999,17497197.3461,Safely managed service
184,sdg,Australia and New Zealand,total,Sanitation,2010,0.007390000000000001,1957.83107,Unimproved
198,sdg,Australia and New Zealand,total,Sanitation,2011,33.11403,8907066.332039999,Basic service
199,sdg,Australia and New Zealand,total,Sanitation,2011,0.0,0.0,Limited service
200,sdg,Australia and New Zealand,total,Sanitation,2011,0.0,0.0,Open defecation
201,sdg,Australia and New Zealand,total,Sanitation,2011,66.87858,17989108.2296,Safely managed service
202,sdg,Australia and New Zealand,total,Sanitation,2011,0.007390000000000001,1988.43836,Unimproved
216,sdg,Australia and New Zealand,total,Sanitation,2012,32.28518,8810494.4047,Basic service
217,sdg,Australia and New Zealand,total,Sanitation,2012,0.0,0.0,Limited service
218,sdg,Australia and New Zealand,total,Sanitation,2012,0.0,0.0,Open defecation
219,sdg,Australia and New Zealand,total,Sanitation,2012,67.70742,18477079.71041,Safely managed service
220,sdg,Australia and New Zealand,total,Sanitation,2012,0.0074,2018.88488,Unimproved
234,sdg,Australia and New Zealand,total,Sanitation,2013,31.454829999999998,8703002.75608,Basic service
235,sdg,Australia and New Zealand,total,Sanitation,2013,0.0,0.0,Limited service
236,sdg,Australia and New Zealand,total,Sanitation,2013,0.0,0.0,Open defecation
237,sdg,Australia and New Zealand,total,Sanitation,2013,68.53777,18963204.20009,Safely managed service
238,sdg,Australia and New Zealand,total,Sanitation,2013,0.0074,2048.04383,Unimproved
252,sdg,Australia and New Zealand,total,Sanitation,2014,30.62375,8587319.77706,Basic service
253,sdg,Australia and New Zealand,total,Sanitation,2014,0.0,0.0,Limited service
254,sdg,Australia and New Zealand,total,Sanitation,2014,0.0,0.0,Open defecation
255,sdg,Australia and New Zealand,total,Sanitation,2014,69.36884,19451971.82335,Safely managed service
256,sdg,Australia and New Zealand,total,Sanitation,2014,0.0074,2076.39959,Unimproved
270,sdg,Australia and New Zealand,total,Sanitation,2015,29.79245,8465254.20765,Basic service
271,sdg,Australia and New Zealand,total,Sanitation,2015,0.0,0.0,Limited service
272,sdg,Australia and New Zealand,total,Sanitation,2015,0.0,0.0,Open defecation
273,sdg,Australia and New Zealand,total,Sanitation,2015,70.20013,19946727.85449,Safely managed service
274,sdg,Australia and New Zealand,total,Sanitation,2015,0.007409999999999999,2105.93786,Unimproved
288,sdg,Australia and New Zealand,total,Sanitation,2017,28.12913,8201435.1022,Basic service
289,sdg,Australia and New Zealand,total,Sanitation,2017,0.0,0.0,Limited service
290,sdg,Australia and New Zealand,total,Sanitation,2017,0.0,0.0,Open defecation
291,sdg,Australia and New Zealand,total,Sanitation,2017,71.86345,20952780.09392,Safely managed service
292,sdg,Australia and New Zealand,total,Sanitation,2017,0.00742,2162.80388,Unimproved
306,sdg,Central and Southern Asia,total,Sanitation,2000,25.451829999999998,383894240.09232,At least basic
309,sdg,Central and Southern Asia,total,Sanitation,2000,5.86227,88421663.05369,Limited service
312,sdg,Central and Southern Asia,total,Sanitation,2000,58.21325,878040393.03627,Open defecation
316,sdg,Central and Southern Asia,total,Sanitation,2000,10.47265,157960704.81922,Unimproved
334,sdg,Central and Southern Asia,total,Sanitation,2001,27.4513,421455185.831,At least basic
337,sdg,Central and Southern Asia,total,Sanitation,2001,6.36669,97746765.04611999,Limited service
340,sdg,Central and Southern Asia,total,Sanitation,2001,55.15849,846839001.7013401,Open defecation
344,sdg,Central and Southern Asia,total,Sanitation,2001,11.02352,169242166.42308,Unimproved
362,sdg,Central and Southern Asia,total,Sanitation,2002,29.524490000000004,461236733.47402996,At least basic
365,sdg,Central and Southern Asia,total,Sanitation,2002,6.845039999999999,106934449.07859,Limited service
368,sdg,Central and Southern Asia,total,Sanitation,2002,52.85544,825716900.9782901,Open defecation
372,sdg,Central and Southern Asia,total,Sanitation,2002,10.775030000000001,168329368.46908998,Unimproved
390,sdg,Central and Southern Asia,total,Sanitation,2003,31.606540000000003,502236555.77897996,At least basic
393,sdg,Central and Southern Asia,total,Sanitation,2003,7.308339999999999,116131504.33333,Limited service
396,sdg,Central and Southern Asia,total,Sanitation,2003,50.56037,803418053.29871,Open defecation
400,sdg,Central and Southern Asia,total,Sanitation,2003,10.52475,167241213.58898002,Unimproved
