ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
ABW,Aruba,total,Sanitation,2000,98.32021,89326.86037,At least basic
ABW,Aruba,total,Drinking water,2000,94.48881,85845.91524,At least basic
ABW,Aruba,total,Sanitation,2000,0,0,Limited service
ABW,Aruba,total,Drinking water,2000,0,0,Limited service
ABW,Aruba,total,Sanitation,2000,1.04987,953.83727,Open defecation
ABW,Aruba,total,Drinking water,2000,0.09162,83.23683,Surface water
ABW,Aruba,total,Sanitation,2000,0.62992,572.30236,Unimproved
ABW,Aruba,total,Drinking water,2000,5.41958,4923.84793,Unimproved
ABW,Aruba,total,Sanitation,2001,98.25548,91277.3782,At least basic
ABW,Aruba,total,Drinking water,2001,94.77049,88039.89083,At least basic
ABW,Aruba,total,Sanitation,2001,0,0,Limited service
ABW,Aruba,total,Drinking water,2001,0,0,Limited service
ABW,Aruba,total,Sanitation,2001,1.08514,1008.07641,Open defecation
ABW,Aruba,total,Drinking water,2001,0.09824,91.25896,Surface water
ABW,Aruba,total,Sanitation,2001,0.65937,612.54539,Unimproved
ABW,Aruba,total,Drinking water,2001,5.13127,4766.85021,Unimproved
ABW,Aruba,total,Sanitation,2002,98.19076,93273.36215,At least basic
ABW,Aruba,total,Drinking water,2002,95.05218,90291.96289,At least basic
ABW,Aruba,total,Sanitation,2002,0,0,Limited service
ABW,Aruba,total,Drinking water,2002,0,0,Limited service
ABW,Aruba,total,Sanitation,2002,1.12042,1064.30728,Open defecation
ABW,Aruba,total,Drinking water,2002,0.10485,99.60317,Surface water
ABW,Aruba,total,Sanitation,2002,0.68883,654.33057,Unimproved
ABW,Aruba,total,Drinking water,2002,4.84297,4600.43394,Unimproved
ABW,Aruba,total,Sanitation,2003,98.12603,95198.92835,At least basic
ABW,Aruba,total,Drinking water,2003,95.33386,92490.05155,At least basic
ABW,Aruba,total,Sanitation,2003,0,0,Limited service
ABW,Aruba,total,Drinking water,2003,0,0,Limited service
ABW,Aruba,total,Sanitation,2003,1.15569,1121.21802,Open defecation
ABW,Aruba,total,Drinking water,2003,0.11147,108.14765,Surface water
ABW,Aruba,total,Sanitation,2003,0.71828,696.85363,Unimproved
ABW,Aruba,total,Drinking water,2003,4.55467,4418.8008,Unimproved
ABW,Aruba,total,Sanitation,2004,98.0613,96822.78613,At least basic
ABW,Aruba,total,Drinking water,2004,95.61555,94407.92103,At least basic
ABW,Aruba,total,Sanitation,2004,0,0,Limited service
ABW,Aruba,total,Drinking water,2004,0,0,Limited service
ABW,Aruba,total,Sanitation,2004,1.19097,1175.92493,Open defecation
ABW,Aruba,total,Drinking water,2004,0.11809,116.6,Surface water
ABW,Aruba,total,Sanitation,2004,0.74773,738.28894,Unimproved
ABW,Aruba,total,Drinking water,2004,4.26636,4212.47897,Unimproved
ABW,Aruba,total,Sanitation,2005,97.99657,98026.95189,At least basic
ABW,Aruba,total,Drinking water,2005,95.89723,95926.95826,At least basic
ABW,Aruba,total,Sanitation,2005,0,0,Limited service
ABW,Aruba,total,Drinking water,2005,0,0,Limited service
ABW,Aruba,total,Sanitation,2005,1.22624,1226.6215,Open defecation
ABW,Aruba,total,Drinking water,2005,0.12471,124.74877,Surface water
ABW,Aruba,total,Sanitation,2005,0.77719,777.42661,Unimproved
ABW,Aruba,total,Drinking water,2005,3.97806,3979.29297,Unimproved
ABW,Aruba,total,Sanitation,2006,97.93185,98746.6385,At least basic
ABW,Aruba,total,Drinking water,2006,96.17891,96979.12344,At least basic
ABW,Aruba,total,Sanitation,2006,0,0,Limited service
ABW,Aruba,total,Drinking water,2006,0,0,Limited service
ABW,Aruba,total,Sanitation,2006,1.26152,1272.0117,Open defecation
ABW,Aruba,total,Drinking water,2006,0.13133,132.42138,Surface water
ABW,Aruba,total,Sanitation,2006,0.80664,813.3498,Unimproved
ABW,Aruba,total,Drinking water,2006,3.68976,3720.45518,Unimproved
ABW,Aruba,total,Sanitation,2008,97.80239,99125.65708,At least basic
ABW,Aruba,total,Drinking water,2008,96.74228,98051.20748,At least basic
ABW,Aruba,total,Sanitation,2008,0,0,Limited service
ABW,Aruba,total,Drinking water,2008,0,0,Limited service
ABW,Aruba,total,Sanitation,2008,1.33206,1350.08776,Open defecation
ABW,Aruba,total,Drinking water,2008,0.14457,146.52193,Surface water
ABW,Aruba,total,Sanitation,2008,0.86554,877.25516,Unimproved
ABW,Aruba,total,Drinking water,2008,3.11315,3155.27059,Unimproved
ABW,Aruba,total,Sanitation,2016,97.54348,102247.02778,At least basic
ABW,Aruba,total,Drinking water,2016,97.86902,102588.26769,At least basic
ABW,Aruba,total,Sanitation,2016,0,0,Limited service
ABW,Aruba,total,Drinking water,2016,0,0,Limited service
ABW,Aruba,total,Sanitation,2016,1.47316,1544.19892,Open defecation
ABW,Aruba,total,Drinking water,2016,0.17104,179.28798,Surface water
ABW,Aruba,total,Sanitation,2016,0.98336,1030.7733,Unimproved
ABW,Aruba,total,Drinking water,2016,1.95994,2054.44433,Unimproved
AFG,Afghanistan,total,Sanitation,2000,23.51573,4725192.81228,At least basic
AFG,Afghanistan,rural,Sanitation,2000,21.79577,3412663.10527,At least basic
AFG,Afghanistan,urban,Sanitation,2000,29.58614,1312529.59469,At least basic
AFG,Afghanistan,total,Drinking water,2000,27.7719,5580417.18549,At least basic
AFG,Afghanistan,rural,Drinking water,2000,21.61913,3385005.65013,At least basic
AFG,Afghanistan,urban,Drinking water,2000,49.48745,2195411.40873,At least basic
AFG,Afghanistan,total,Sanitation,2000,5.85019,1175523.02824,Limited service
AFG,Afghanistan,rural,Sanitation,2000,3.57232,559334.67041,Limited service
AFG,Afghanistan,urban,Sanitation,2000,13.88969,616188.33258,Limited service
AFG,Afghanistan,total,Drinking water,2000,3.57996,719347.83153,Limited service
AFG,Afghanistan,rural,Drinking water,2000,3.26344,510971.68049,Limited service
AFG,Afghanistan,urban,Drinking water,2000,4.69707,208376.13403,Limited service
AFG,Afghanistan,total,Sanitation,2000,26.01966,5228326.64344,Open defecation
AFG,Afghanistan,rural,Sanitation,2000,31.36838,4911490.45249,Open defecation
AFG,Afghanistan,urban,Sanitation,2000,7.1419,316836.0561,Open defecation
AFG,Afghanistan,total,Drinking water,2000,25.24754,5073179.79701,Surface water
AFG,Afghanistan,rural,Drinking water,2000,29.56021,4628376.79999,Surface water
AFG,Afghanistan,urban,Drinking water,2000,10.02644,444802.86745,Surface water
AFG,Afghanistan,total,Sanitation,2000,44.61442,8964713.51604,Unimproved
AFG,Afghanistan,rural,Sanitation,2000,43.26353,6773968.49997,Unimproved
AFG,Afghanistan,urban,Sanitation,2000,49.38227,2190745.28848,Unimproved
AFG,Afghanistan,total,Drinking water,2000,43.4006,8720811.18597,Unimproved
AFG,Afghanistan,rural,Drinking water,2000,45.55722,7133102.59754,Unimproved
AFG,Afghanistan,urban,Drinking water,2000,35.78904,1587708.86165,Unimproved
AFG,Afghanistan,total,Sanitation,2001,23.52282,4931902.12707,At least basic
AFG,Afghanistan,rural,Sanitation,2001,21.79577,3556722.27992,At least basic
AFG,Afghanistan,urban,Sanitation,2001,29.58614,1375179.96242,At least basic
AFG,Afghanistan,total,Drinking water,2001,27.79726,5828101.14544,At least basic
AFG,Afghanistan,rural,Drinking water,2001,21.61913,3527897.31716,At least basic
AFG,Afghanistan,urban,Drinking water,2001,49.48745,2300203.9655,At least basic
