Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Australia and New Zealand,total,Sanitation,2000,39.38183,9028221.19053,Basic service
sdg,Australia and New Zealand,total,Sanitation,2000,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2000,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2000,60.61081,13894928.81496,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2000,0.00736,1686.99451,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2000,99.76073,22869983.65296,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2000,99.20021,3516824.5251,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2000,7.91597,1534088.04539,Basic service
sdg,Australia and New Zealand,total,Drinking water,2000,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2000,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2000,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2000,91.94729,17819071.20457,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2000,0.05244,12022.91703,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2000,0.33913,12022.91693,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2000,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2000,0.18683,42830.43001,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2000,0.46066,16331.12883,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2000,0.13674,26499.17917,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2001,39.25925,9098906.70218,Basic service
sdg,Australia and New Zealand,total,Sanitation,2001,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2001,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2001,60.73339,14075855.12542,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2001,0.00736,1705.1724,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2001,99.75993,23120827.77761,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2001,99.19873,3577999.07008,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2001,7.54178,1475894.28396,Basic service
sdg,Australia and New Zealand,total,Drinking water,2001,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2001,0,0,Limited service
