,Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
5,sdg,Australia and New Zealand,total,Drinking water,2000,99.76073000000001,22869983.652960002,At least basic
8,sdg,Australia and New Zealand,total,Drinking water,2000,0.0,0.0,Limited service
12,sdg,Australia and New Zealand,total,Drinking water,2000,0.05244,12022.91703,Surface water
15,sdg,Australia and New Zealand,total,Drinking water,2000,0.18683,42830.430010000004,Unimproved
23,sdg,Australia and New Zealand,total,Drinking water,2001,99.75993000000001,23120827.77761,At least basic
26,sdg,Australia and New Zealand,total,Drinking water,2001,0.0,0.0,Limited service
30,sdg,Australia and New Zealand,total,Drinking water,2001,0.052879999999999996,12254.78846,Surface water
33,sdg,Australia and New Zealand,total,Drinking water,2001,0.18719,43384.43396,Unimproved
41,sdg,Australia and New Zealand,total,Drinking water,2002,99.76086,23382348.010220002,At least basic
44,sdg,Australia and New Zealand,total,Drinking water,2002,0.0,0.0,Limited service
48,sdg,Australia and New Zealand,total,Drinking water,2002,0.05244,12291.18289,Surface water
51,sdg,Australia and New Zealand,total,Drinking water,2002,0.1867,43758.80687,Unimproved
59,sdg,Australia and New Zealand,total,Drinking water,2003,99.7794,23666716.86638,At least basic
62,sdg,Australia and New Zealand,total,Drinking water,2003,0.0,0.0,Limited service
66,sdg,Australia and New Zealand,total,Drinking water,2003,0.04551,10793.84073,Surface water
69,sdg,Australia and New Zealand,total,Drinking water,2003,0.17509,41530.292910000004,Unimproved
77,sdg,Australia and New Zealand,total,Drinking water,2004,99.79771,23980260.87049,At least basic
80,sdg,Australia and New Zealand,total,Drinking water,2004,0.0,0.0,Limited service
84,sdg,Australia and New Zealand,total,Drinking water,2004,0.0387,9298.16395,Surface water
87,sdg,Australia and New Zealand,total,Drinking water,2004,0.16359,39308.965560000004,Unimproved
95,sdg,Australia and New Zealand,total,Drinking water,2005,99.81579,24329356.404370002,At least basic
98,sdg,Australia and New Zealand,total,Drinking water,2005,0.0,0.0,Limited service
102,sdg,Australia and New Zealand,total,Drinking water,2005,0.032010000000000004,7801.08449,Surface water
